name;category;year_published;designer;min_age;average_rating;users_rated;min_players;max_players;publisher
Guerra De Mitos III;Mythology;2013;Francisco Gallego Arredondo;10;8.11273;55;2;6;GDM Games
Guerra de Mitos IV;Mythology;2014;Francisco Gallego Arredondo;10;8.10588;51;2;6;GDM Games
Shadow Throne;Card Game;2014;Teale Fristoe;14;6.75747;178;3;5;Nothing Sacred Games
Athlas: Duel for Divinity;Fantasy;2014;Tzvika Harpaz;12;6.94222;81;2;2;Golden Egg Games
Norsaga;Card Game;2015;Kevin Bishop;8;6.39967;150;2;4;Meromorph Games
Stonewall's Sword: The Battle of Cedar Mountain;American Civil War;2015;Hermann Luttmann;12;8.2041;61;2;2;Revolution Games (II)
Race to Berlin;Wargame;2015;Krzysztof Dytczak;14;7.96863;51;2;2;Leonardo Games
GEM;Card Game;2015;Chris Handy;10;6.35532;157;2;4;Perplext
TAJ;Negotiation;2015;Chris Handy;10;6.18889;108;2;4;Perplext
TKO;Card Game;2015;Chris Handy;8;4.82613;111;2;2;Perplext
FLY;Action / Dexterity;2015;Chris Handy;8;5.44021;144;2;4;Perplext
Nautilus Industries;Economic;2015;Leif Steiestol;8;7.00559;143;2;6;Lamp Light Games Inc
Ascension: Year One Collector's Edition;Card Game;2015;Justin Gary;13;7.98177;215;1;6;Stone Blade Entertainment
The King's Abbey;Medieval;2016;Randy Rathert;12;7.22846;383;1;5;Breaking Games
Black Market Warehouse;Card Game;2014;Andrew T Dunay;0;5.4654;87;2;4;Fire Squadron
HUE;Abstract Strategy;2015;Chris Handy;8;6.57808;234;2;5;Perplext
The Shadow Over Westminster;Card Game;2015;Robert Huss;14;7.01782;87;1;4;CounterClockwork Games
Panthalos;Ancient;2014;Bernd Eisenstein;12;6.91942;139;2;5;Irongames
Wake up, Cthulhu!;Card Game;2015;Miguel Bruque;10;5.79766;137;1;4;GDM Games
Ortus Regni;Card Game;2014;Jon Sudbury;14;7.54491;232;2;2;Jon Sudbury Games
Operation F.A.U.S.T.;Bluffing;2015;Robert Burke;13;6.47729;236;3;8;Robert Burke Games
Unicorns in the Clouds;Children's Game;2014;Kristin Mückel;3;5.96287;115;2;4;HABA - Habermaaß GmbH
Comanchería: The Rise and Fall of the Comanche Empire;American Indian Wars;2016;Joel Toppen;14;8.41183;143;1;1;GMT Games
Sellswords;Mythology;2014;Cliff Kamarga;10;6.73855;408;2;2;Level 99 Games
Hat-Trick;Card Game;2014;Patryk Kowalski;14;7.32803;66;2;2;Unplugged
The King of Frontier;City Building;2013;Shun;10;6.91768;168;2;4;Studio GG
In a Bind;Action / Dexterity;2015;Behrooz Shahriari;13;7.1257;107;3;12;Stuff By Bez
Warhammer 40,000 (Seventh Edition);Fighting;2014;NA;12;7.30094;192;2;12;Games Workshop Ltd.
The Worst Game Ever;Action / Dexterity;2014;Jeff Siadek;8;5.49783;115;2;8;Gorilla Games
Shadow of the Elder Gods;Adventure;2015;Clayton Grey;13;5.59023;87;1;4;Laboratory Games
Wing Leader: Victories 1940-1942;Aviation / Flight;2015;Lee Brimmicombe-Wood;0;8.00998;229;2;2;GMT Games
Robin;Card Game;2014;Fréderic Moyersoen;8;5.97773;242;2;6;Flatlined Games
The Possession;Horror;2014;Óscar Arévalo;14;6.04286;70;3;5;Gen-X Games
Justice League Strategy Game;Comic Book / Strip;2014;Andrew Parks;14;6.932;50;3;5;WizKids
Day of Days: The Invasion of Normandy 1944;Wargame;2015;Lee Forester;12;7.6;68;2;8;Multi-Man Publishing
Town Center (4th edition);Abstract Strategy;2014;Alban Viard;12;6.96932;263;1;4;LudiCreations
Cartoon Network Fluxx;Card Game;2014;Andrew Looney;8;5.9067;288;2;6;Looney Labs
Stuff and Nonsense;Adventure;2015;James Ernest;12;6.53005;188;2;6;Cheapass Games
DC Comics Deck-Building Game: Rivals – Batman vs The Joker;Card Game;2014;Matt Hyra;15;7.16564;473;2;2;Cryptozoic Entertainment
Paradox;Adventure;2016;Brian Suhre;10;7.4614;238;2;4;Split Second Games
LIE;Bluffing;2015;Chris Handy;8;6.09023;133;2;6;Perplext
Jäger und Späher;Prehistoric;2014;Gerhard Hecht;12;7.10633;278;2;2;KOSMOS
Timeline: American History;Card Game;2014;Frédéric Henry;8;6.76531;528;2;8;Asmodee
Timeline: Americana;Card Game;2014;Frédéric Henry;8;6.80604;498;2;8;Asmodee
Omertà, el poder de la mafia;Card Game;2015;Rodrigo González;14;7.49908;109;2;5;Holocubierta Ediciones
Rise of Cthulhu;Adventure;2015;Chuck D. Yager;14;6.81367;120;2;2;(Self-Published)
Kremlin (Limited Edition);Bluffing;2014;Urs Hostettler;12;7.21522;69;2;6;Jolly Roger Games
Land 6;Abstract Strategy;2014;Santiago Eximeno;10;6.49864;81;1;1;(Web published)
Irish Gauge;Trains;2014;Tom Russell;12;7.15909;55;3;5;Winsome Games
Amber Route;Adventure;2014;Krzysztof Matusik;8;5.72632;76;2;4;Bomba Games
Switching Tracks;Puzzle;2015;Kris Gould;10;6.53425;73;2;5;Wattsalpoag Games
Dead Drop;Card Game;2015;Jason Kotarski;13;6.54037;471;2;4;Crash Games
The U.S. Civil War;American Civil War;2015;Mark Simonitch;0;8.45256;316;2;2;GMT Games
Ciúb;Dice;2014;Thomas Lehmann;10;6.19373;308;2;4;AMIGO Spiel + Freizeit GmbH
Temporum;Age of Reason;2014;Donald X. Vaccarino;13;6.4951;789;2;5;Rio Grande Games
Mouse Guard: Swords & Strongholds;Abstract Strategy;2015;Luke Crane;8;7.22389;113;2;2;(Self-Published)
Holiday Fluxx;Card Game;2014;Andrew Looney;8;6.16223;229;2;5;Looney Labs
Imperial Stars II;Science Fiction;2014;Chris Taylor;13;7.20857;63;2;2;Victory Point Games
Archaeologia;Exploration;2014;Olivier Laffont;8;7.24286;56;2;4;Old Casa Games
Rise of the Kage;Adventure;2015;Gordon Cunningham;13;6.86554;92;2;4;GCT Studios
Collapse;Card Game;2015;Jordan Goddard;8;6.24828;58;2;4;(Self-Published)
I, Spy;Bluffing;2015;C. Simon Reid;13;7.3911;172;2;4;Lost Boys Productions
Loop Inc.;Science Fiction;2015;Scott Almes;13;6.53389;357;2;4;Eagle-Gryphon Games
Yomi: Round 2;Card Game;2014;David Sirlin;0;7.97736;53;1;4;Sirlin Games
Musée;Card Game;2014;Alf Seegert;8;6.9786;286;2;4;Eagle-Gryphon Games
Alhambra: Big Box Special Edition;Abstract Strategy;2014;Dirk Henn;8;7.44016;62;2;6;Queen Games
Scheffeln;Bluffing;2014;Reiner Stockhausen;10;5.685;60;2;8;dlp games
Firefly: Shiny Dice;Dice;2015;Scott Morris;0;5.6336;336;1;5;Upper Deck Entertainment
Waterloo 1815: Fallen Eagles;Napoleonic;2015;Walter Vejdovsky;14;8.38113;106;1;3;Hexasim
Cypher;Card Game;2014;David Short;14;6.07;549;2;4;Alderac Entertainment Group (AEG)
Infinity: Operation Icestorm;Fighting;2014;Gutier Lusquiños Rodríguez;12;8.44545;77;2;2;Corvus Belli
Tides of Infamy;Exploration;2015;Jacob A Bunting;13;7.24054;111;2;4;Gamewalker
V-Commandos;Spies/Secret Agents;2016;Thibaud de la Touanne;12;8.31132;281;1;4;Triton Noir
Takamatsu;Maze;2014;Martin Schlegel;10;6.03859;92;2;5;Mücke Spiele
15 Dias: The Spanish Golden Age;Card Game;2014;Gonzo Bríos;12;6.81011;94;2;8;Asylum Games (Board Games)
Pirates, Ninjas, Robots, & Zombies;Pirates;2014;Mike Richie;8;6.16154;65;2;4;Rather Dashing Games
Monopoly: The Legend of Zelda;Economic;2014;NA;0;5.63496;123;1;1;USAopoly
Eminent Domain: Battlecruisers;Bluffing;2016;Philip duBarry;13;6.56483;360;3;5;Tasty Minstrel Games
Captain's Wager;Bluffing;2015;Jonathan Hager;12;5.80169;148;2;5;Grey Fox Games
Munchkin Steampunk;Card Game;2015;Steve Jackson (I);0;6.86068;118;3;6;Steve Jackson Games
SHH;Deduction;2015;Chris Handy;10;6.578;215;2;4;Perplext
BUS;Maze;2015;Chris Handy;8;6.34054;203;2;3;Perplext
Neptun;Ancient;2014;Dirk Henn;8;6.63844;242;3;5;Queen Games
Black & White;Fantasy;2014;Krzysztof Matusik;12;6.8253;83;2;2;Bomba Games
Kryptos;Card Game;2014;Piotr Siłka;8;6.62512;217;3;6;Trefl Joker Line
Biblios Dice;Bluffing;2015;Steve Finn;8;6.95025;317;2;5;Dr. Finn's Games
McJohny's;Action / Dexterity;2014;Jan Vaněček;10;6.33799;72;3;6;Czech Board Games
Mine, All Mine!;Card Game;2014;Joel Mayeski;8;6.20636;55;2;4;All Fun and Games
Don't Tread On Me: The American Revolution Solitaire Board Game;American Revolutionary War;2014;Ben Madison;12;8.10526;57;1;1;White Dog Games
Mr House;Economic;2014;Adam Kałuża;10;6.082;75;2;4;Granna
Roll For It! Deluxe Edition;Dice;2014;Chris Leder;8;6.66892;1025;2;8;Calliope Games
Airborne Commander;World War II;2015;Aaron Lauster;10;7.11029;209;1;1;StrataMax Games
BANG!: Halo;Bluffing;2014;NA;8;6.20473;74;3;7;USAopoly
€uro Crisis;Economic;2015;Galgor;14;7.16413;75;3;4;Doppeldenk-Spiele
Cargotrain;Card Game;2014;Krzysztof Matusik;10;6.24167;96;2;4;Game Fabrica
Slavika: Equinox;Card Game;2014;Marcin Welnicki;10;6.73377;77;2;5;REBEL.pl
King Down;Abstract Strategy;2015;Saar Shai;8;5.38908;87;2;4;(Self-Published)
Orcs Orcs Orcs;Fantasy;2014;Frank Thyben;13;6.55833;365;2;4;Queen Games
Orongo;NA;2014;Reiner Knizia;10;6.55023;213;2;4;Ravensburger Spieleverlag GmbH
Adventure Tours;Card Game;2014;Seiji Kanai;10;6.17619;168;3;6;Schmidt Spiele
JamSumo;Action / Dexterity;2014;Gavin Birnbaum;6;7.49516;97;2;4;Cubiko Games
Super Fantasy: Night of the Badly Dead;Fantasy;2014;Marco Valtriani;8;7.2073;63;1;6;Red Glove
Flip 9;Card Game;2014;Chih-Fan Chen;4;6.11389;72;1;1;Homosapiens Lab
Nightmare Forest: Dead Run;Card Game;2016;Dave Killingsworth;8;7.17231;65;1;6;SolarFlare Games
Space Hulk (fourth edition);Fighting;2014;NA;12;8.06186;1012;2;2;Games Workshop Ltd.
Liberty or Death: The American Insurrection;American Revolutionary War;2016;Harold Buchanan;14;8.1302;592;1;4;GMT Games
Spike;Trains;2014;Stephen Glenn;14;6.79169;363;2;4;R&R Games
Mangrovia;NA;2014;Eilif Svensson;10;7.24921;922;2;5;Zoch Verlag
Bucket of Doom;Party Game;2014;NA;18;5.22143;98;4;20;Big Potato
Blend Off!;Dice;2016;Scot Eaton;6;6.769;50;2;4;Thunderworks Games
Demonslayer: Siege of Mt. Kunlun;Fantasy;2014;NA;9;6.49431;51;1;4;EOS Press
Hellweg westfalicus;Medieval;2014;Michael Schacht;10;6.54619;118;2;4;Spiele aus Timbuktu
Peptide: A Protein Building Game;Educational;2014;John Coveyou;10;6.80569;65;2;6;Genius Games
Time of Soccer;Economic;2014;Lipschitzz;12;7.7651;355;1;4;Elite Games (II)
Tramways;City Building;2016;Alban Viard;14;7.41076;396;1;5;AVStudioGames
Bounce-Off;Abstract Strategy;2013;NA;7;5.85352;219;2;4;Mattel
Prime Time;Economic;2015;Elad Goldsteen;13;6.03414;227;2;4;Golden Egg Games
Bakerspeed;Dice;2014;Marko Jelen;7;4.85157;127;2;5;Österreichisches Spiele Museum e.V.
Paititi;Card Game;2014;Walter Schranz;8;5.39091;55;2;4;Österreichisches Spiele Museum e.V.
Skull Tales;Fantasy;2015;David Illescas;14;8.25884;164;1;4;4Moon Studio
Of Dungeons Deep! (Second Edition);Bluffing;2015;Jason Glover;10;6.47246;54;1;4;Grey Gnome Games
DC Comics Deck-Building Game: Teen Titans;Card Game;2015;Richard Brady;15;7.24048;381;2;5;Cryptozoic Entertainment
Roll Through the Ages: The Iron Age with Mediterranean Expansion;Ancient;2014;Thomas Lehmann;8;7.04036;138;1;4;Eagle-Gryphon Games
oddball Aeronauts 2: Double the Trouble;Card Game;2015;Nigel Pyne;9;6.835;70;2;4;maverick muse
The Hen Commandments;Humor;2015;Andrew Sheerin;15;6.08594;64;3;8;Terrorbull Games
BANG!: Heroes of the Storm;Bluffing;2014;Emiliano Sciarra;10;6.34045;89;4;7;USAopoly
London After Midnight;Card Game;2015;Enrique Dueñas González;9;6.08216;194;2;6;Gen-X Games
Birds of a Feather;Animals;2015;Teale Fristoe;9;6.87889;298;1;7;Nothing Sacred Games
Waterloo 200;Napoleonic;2015;Emanuele Santandrea;14;8.05915;71;1;3;VentoNuovo Games
The Princess Bride: A Battle of Wits;Bluffing;2015;Matthew O'Malley;10;5.86205;78;2;10;Game Salute
Dorasure;Adventure;2014;KTR;10;6.66288;59;2;5;Giant Hobby
