name;category;year_published;designer;min_age;average_rating;users_rated;min_players;max_players;publisher
TimeLine;Abstract Strategy;2003;James Ernest;10;5.84109;202;2;5;Cheapass Games
Medieval;Card Game;2003;Richard H. Berg;12;6.12459;364;3;5;GMT Games
Zenix;Abstract Strategy;2000;Jürgen Heel;6;5.61836;61;2;3;Gigamic
The Speed of Heat;Aviation / Flight;1992;J. D. Webster;12;7.34548;148;2;2;Clash of Arms Games
Soldiers: Man-to-Man Combat in World War II;Wargame;1987;John H. Butterfield;12;6.84615;91;2;2;West End Games
Goth: The Game of Horror Trivia;Horror;2002;Matthew Nuccio;13;5.47895;57;2;4;McNutty Games
One False Step for Mankind;American West;2003;James Ernest;10;6.3059;144;3;6;Cheapass Games
Mystery Date;Electronic;1965;Marvin Glass;7;4.83942;52;2;4;Milton Bradley
Trivial Pursuit: The Lord of the Rings Movie Trilogy Collector's Edition;Fantasy;2003;(Uncredited);18;5.44617;608;2;4;Hasbro
The Korean War;Korean War;1986;Joseph M. Balkoski;15;7.56533;337;1;2;Victory Games (I)
The Winning Ticket;Economic;1977;Sid Sackson;8;5.92685;54;2;6;Ideal
Chekov;Abstract Strategy;2003;Maureen Hiron;8;5.30364;55;2;3;Playroom Entertainment
Sword of Rome;Ancient;2004;Wray Ferrell;12;7.3366;1369;2;5;GMT Games
Caves & Claws;Adventure;1998;Jim Deacove;6;5.47995;96;1;4;Family Pastimes
Subulata;Abstract Strategy;2003;Corné van Moorsel;8;6.52414;145;2;2;Cwali
Whad'Ya Know?;Party Game;2003;John Kovalic;12;5.12966;59;4;10;Out of the Box Publishing
Monty's D-Day;Wargame;1985;John Prados;12;6.07679;56;2;2;TSR
Winds Of Plunder;Pirates;2007;Al Newman;10;6.47687;683;3;5;GMT Games
Thingamajig;Electronic;2003;Aaron Weissblum;14;6.34744;215;3;8;R&R Games
Star Trek: The Next Generation;Exploration;1993;(Uncredited);12;4.15082;61;2;4;Classic Games
A World at War;Wargame;2003;Bruce Harper;14;7.61917;253;1;8;GMT Games
Torch;Wargame;1985;John Astell;0;7.25932;59;2;2;GDW Games
Battlefield: Europe;Modern Warfare;1990;Frank Chadwick;12;6.06;65;2;2;GDW Games
Europe at War;Dice;1993;Frank W. Zenau;12;5.61154;52;2;5;Xeno Games
Bar-Lev: The Yom-Kippur War of 1973;Modern Warfare;1974;John Hill (I);16;7.32647;102;2;5;Conflict Games
Cluedo  Passport to Murder;Deduction;2000;(Uncredited);8;6.00811;74;2;6;Hasbro
The Penguin Ultimatum;Abstract Strategy;2003;Jim Doherty;10;6.22677;254;2;4;Eight Foot Llama
America in Flames;Wargame;1999;Harry Rowland;12;6.36892;74;2;6;Australian Design Group
The Italian Front: 1915-1918;Wargame;2003;David Schroeder;12;7.69298;57;2;2;SPW (Schroeder Publishing & Wargames)
Tannenberg: Eagles in the East / Galicia: The Forgotten Cauldron;Wargame;1999;David Schroeder;12;7.59804;51;2;2;SPW (Schroeder Publishing & Wargames)
Secrets of the Deep;Children's Game;1991;Wolfgang Riedesser;7;5.98348;66;2;5;Ravensburger Spieleverlag GmbH
Creepy Freaks;Abstract Strategy;2003;(Uncredited);6;5.11638;116;2;4;WizKids
Buffy the Vampire Slayer: The Board Game;Fighting;2000;Terry Miller Associates;14;3.96702;124;2;8;Susan Prescot Games
Break the Safe;Electronic;2003;NA;8;6.05314;599;2;4;Mattel
3 Stones;Abstract Strategy;2000;Andy Daniel;8;6.19477;86;2;2;Enginuity
Blood on the Snow: The Battle of Suomussalmi;Wargame;1995;Michael Bennighof;12;5.86014;72;2;2;Avalanche Press Ltd.
Counting Zzzzs;Animals;2003;Joan Wendland;10;5.64312;77;2;4;Blood & Cardstock Games
Soldier Emperor;Napoleonic;2003;Robert G. Markham;14;6.09065;107;2;7;Avalanche Press Ltd.
Birds, Bugs and Beans;Action / Dexterity;2003;Stacey Merrill;6;5.52364;55;2;6;R&R Games
Balancing Aliens;Action / Dexterity;2003;Dale Walton;7;5.11507;73;2;4;Pin International
Mutiny!;Fantasy;2003;Kevin Wilson;10;5.67916;489;2;5;Fantasy Flight Games
Arctic Storm: The Russo-Finnish Winter War 1939-40;Wargame;1992;David James Ritchie;12;6.51981;106;2;2;GMT Games
Triumph & Glory: Battles of the Napoleonic Wars 1796-1809;Napoleonic;2000;Richard H. Berg;14;6.74539;141;2;2;GMT Games
Spooks;Card Game;2003;Jason Wittman;12;6.06111;342;3;6;Steve Jackson Games
Napoleon and the Archduke Charles: The Battle of Eckmuhl;Napoleonic;1987;Keith Poulter;12;6.08286;70;2;2;3W (World Wide Wargames)
Battle Cry of Freedom;American Civil War;2003;David Smith;12;6.77358;53;2;2;Decision Games (I)
Quits;Abstract Strategy;1990;Loris Immordino;8;5.80282;71;2;4;Gigamic
The Construction Game;Educational;1993;Dave Zimmerman;10;5.92807;57;2;6;Weekend Farmer Company
Operation Shoestring: The Guadalcanal Campaign, 1942;Wargame;1990;Gene Billingsley;14;6.07586;87;1;4;GMT Games
Ideology: The War of Ideas;Political;2003;Andrew Parks;12;6.17656;843;2;5;Z-Man Games
Ghettopoly;Economic;2003;David T. Chang;13;4.74805;77;2;7;Ghettopoly.com
CrossFire: Rules & Organizations for Company Level WW2 Gaming;Miniatures;1996;Arty Conliffe;12;7.56272;114;2;6;Quantum Printing
Clue FX;Bluffing;2003;Craig Van Ness;8;6.15562;513;2;4;Hasbro
X-Machina;Bluffing;2003;Joan Wendland;12;6.04794;92;4;8;Blood & Cardstock Games
Logistico;Economic;2003;Corné van Moorsel;11;6.21879;490;2;5;Cwali
Industria;Economic;2003;Michael Schacht;10;6.51233;1683;3;4;Queen Games
Atta Ants;Animals;2003;Richard de Rijk;8;5.74126;326;2;4;The Realm of Fantasy
Die Fugger;Card Game;2003;Klaus-Jürgen Wrede;10;6.45232;640;2;4;Adlung-Spiele
Winter Fury: The Battle of Tolvajärvi 1939;Wargame;2001;Michael Bennighof;14;5.89375;56;2;2;Avalanche Press Ltd.
Illuminati: Crime Lords;Card Game;2004;Steve Jackson (I);12;5.84739;230;2;6;Steve Jackson Games
Return of the Heroes;Adventure;2003;Lutz Stepponat;10;6.5097;1936;1;4;Pegasus Spiele
Battleship (first edition);Nautical;1986;Stephen Newberg;8;5.01864;118;2;2;Simulations Canada
Yellowstone Park;Animals;2003;Uwe Rosenberg;8;5.74661;177;2;5;AMIGO Spiel + Freizeit GmbH
Floriado;Abstract Strategy;2003;Corné van Moorsel;10;6.23538;65;2;2;Cwali
Snail Race;Children's Game;2000;Pascal Bernard;10;5.12984;62;2;6;Tilsit
Railroad Dice;Dice;2003;Jens Kappe;12;6.20327;492;2;4;Wassertal Spieleverlag
Zauberschwert & Drachenei;Bluffing;2003;Jochen Schwinghammer;12;6.11422;351;2;4;Adlung-Spiele
Race to the Meuse;Wargame;1983;Bob McWilliams;12;5.75824;51;2;2;3W (World Wide Wargames)
Hoppla Lama;Animals;2003;Roberto Fraga;8;5.35949;79;3;6;Goldsieber Spiele
Bunker Hill;Age of Reason;1995;William Marsh;12;5.70464;56;2;2;XTR Corp
Blood & Thunder;Wargame;1993;Frank Chadwick;0;6.42623;61;2;2;GDW Games
3D Labyrinth;Children's Game;2002;Max J. Kobbert;5;5.13583;120;2;4;Ravensburger Spieleverlag GmbH
Over the Reich;Aviation / Flight;1994;J. D. Webster;12;7.57;135;2;2;Clash of Arms Games
The Sands of War;Modern Warfare;1991;Frank Chadwick;12;6.57241;87;2;2;GDW Games
Beirut '82;Modern Warfare;1989;Thomas M. Kane;12;4.97222;54;2;2;3W (World Wide Wargames)
Chad: The Toyota Wars;Modern Warfare;1991;Rich Davis;12;6.30123;81;2;2;Decision Games (I)
Red Beach One: Tarawa;Wargame;1991;Mike Joslyn;0;5.45974;77;1;1;Decision Games (I)
Trail of the Fox;Wargame;1984;Douglas Niles;12;6.45385;52;2;2;TSR
Wapi;NA;2003;Reiner Knizia;8;4.88554;83;2;5;Tactic
Monopoly: NHL;Economic;2001;(Uncredited);8;4.96216;74;3;8;USAopoly
The Great Pacific War;Wargame;2003;Brian L. Knipple;12;6.70137;73;2;7;Avalanche Press Ltd.
Siege at Peking;Wargame;1982;Dan Campagna;12;5.825;50;2;2;3W (World Wide Wargames)
Objective: Tunis;Wargame;1991;Vance von Borries;0;5.06936;62;2;2;Decision Games (I)
First Team: Vietnam;Modern Warfare;1986;Mike Joslyn;12;6.36636;55;1;1;3W (World Wide Wargames)
Pearl Harbor;Wargame;1977;John Prados;12;5.52769;65;2;2;GDW Games
Trenchfoot;Wargame;1981;Frank Chadwick;0;5.69014;71;2;2;GDW Games
Odds'R;Dice;2002;Roger L. Schlaifer;0;4.64896;77;2;4;Eagle-Gryphon Games
Master and Commander: The Far Side of the World;Card Game;2003;(Uncredited);8;5.43813;80;2;8;Front Porch Classics
Whistling Death;Aviation / Flight;2003;J. D. Webster;14;8.18926;229;1;4;Clash of Arms Games
Ninja Burger;Card Game;2003;Steve Jackson (I);12;5.62833;1127;3;6;Steve Jackson Games
PDQ: The Pretty Darn Quick Word Game;Card Game;2003;Jay Thompson;8;6.35667;60;1;12;Gamewright
Turbo;Card Game;2003;Zoltán Aczél;10;4.61281;64;2;4;Adlung-Spiele
Cargo;Abstract Strategy;2004;Tom Jolly;10;5.11186;118;2;4;Wingnut Games
Austerlitz 1805: Napoleon's Greatest Victory;Napoleonic;2000;David A. Fox;12;5.79023;87;2;2;GMT Games
Monopoly: Star Trek The Next Generation;Economic;1998;(Uncredited);8;4.35455;99;2;8;USAopoly
Assyrian Wars;Ancient;2005;Udo Grebe;12;6.32202;84;2;5;Udo Grebe Gamedesign
Pi mal Daumen;Bluffing;1999;Grzegorz Rejchtman;12;6.4193;57;3;6;KOSMOS
Days of Decision;Political;1990;Harry Rowland;12;6.2028;107;2;7;Australian Design Group
1807: The Eagles Turn East;Napoleonic;1994;Kevin Zucker;12;6.84149;94;2;2;Clash of Arms Games
Jacob Marley, Esq.;Economic;2004;James Ernest;10;6.27723;112;3;6;Cheapass Games
Landships! Tactical Weapons Innovations 1914-1918;Wargame;1994;Perry Moore;12;6.77403;181;2;2;Clash of Arms Games
The Schlieffen Plan;Wargame;1997;David Schroeder;12;7.19623;53;2;2;SPW (Schroeder Publishing & Wargames)
North German Plain;Modern Warfare;1988;Charles T. Kamps;12;6.29392;74;2;2;3W (World Wide Wargames)
Ultra Marines;Maze;1991;Andy Jones;8;6.19828;58;2;4;Games Workshop Ltd.
Peter the Great;Age of Reason;1983;Peter Englund;12;6.61784;88;2;2;3W (World Wide Wargames)
Trivial Pursuit: All American Edition;Party Game;1993;(Uncredited);12;5.356;50;2;6;Parker Brothers
Shocking Roulette;Action / Dexterity;2003;(Uncredited);14;5.22045;132;2;4;Jumpin Banana
Frenzy;Card Game;2003;Eric M. Lang;10;5.659;211;2;2;Fantasy Flight Games
June 6;Fighting;1999;Richard H. Berg;12;6.64255;94;2;2;GMT Games
Cropredy Bridge: A Fleeting Victory;Civil War;1992;Micheal J. Grace;12;5.42593;54;2;2;Decision Games (I)
The Russo-Turkish War, 1877-78;Post-Napoleonic;1992;Joseph Miranda;12;6.26622;74;2;2;Decision Games (I)
Dancing Eggs;Action / Dexterity;2003;Roberto Fraga;5;6.48652;1716;2;4;HABA - Habermaaß GmbH
Der wahre Walter;Party Game;1989;Urs Hostettler;0;7.26981;106;4;10;Fata Morgana Spiele
The Battles of Waterloo;Napoleonic;1994;Richard H. Berg;12;6.46166;163;1;4;GMT Games
The Lord of the Rings Labyrinth;Fantasy;2003;Max J. Kobbert;9;6.10357;70;2;4;Ravensburger Spieleverlag GmbH
Cinq-O;Dice;2003;Mark Sargent;7;5.61936;261;1;6;Mattel
Brettfußball;Abstract Strategy;1984;Walter Müller;12;6.2623;61;2;2;Walter Müller's Spielewerkstatt
Grunwald 1410 (first edition);Medieval;1992;Dariusz Góralski;12;5.95211;95;2;2;Dragon
1777: The Year of the Hangman;Age of Reason;2002;Ed Wimble;12;6.79344;61;1;2;Clash of Arms Games
The Three Days of Gettysburg (second edition);American Civil War;2000;Richard H. Berg;12;7.2214;62;2;2;GMT Games
Embrace An Angry Wind;American Civil War;1992;Dean Essig;12;6.8129;62;2;2;The Gamers
Wordigo;Word Game;2003;(Uncredited);8;6.3459;67;2;4;River Edge Game Company
Spite;Dice;1995;(Uncredited);0;4.25027;56;2;6;Lagoon Games
Leonardo;Economic;1988;Marco Donadoni;10;5.2625;56;2;6;Editrice Giochi
The Seven Years War;Age of Reason;1993;Joseph Miranda;12;6.662;50;2;6;Decision Games (I)
Heroes Incorporated;Comic Book / Strip;2004;Sam Clifford;9;6.08813;240;2;4;Quest Machine
Revolution: The Dutch Revolt 1568-1648;Political;2004;Francis Tresham;12;7.36448;842;2;5;Phalanx Games B.V.
Weed!;Card Game;2002;(Uncredited);18;5.29105;95;2;4;Kheper Games
Royalists & Roundheads;Civil War;1991;Robert G. Markham;12;5.88684;57;1;2;3W (World Wide Wargames)
Treasure Falls;Action / Dexterity;2004;Gunter Baars;5;5.6381;147;2;4;Ravensburger Spieleverlag GmbH
Ave Tenebrae;Fantasy;1982;François Marcela-Froideval;0;5.37196;56;2;4;Descartes Editeur
IceTowers;Abstract Strategy;1999;Andrew Looney;10;6.41972;246;2;5;Looney Labs
Westminster;Political;1983;(Uncredited);11;4.579;50;2;6;Gibsons Games
Advanced Dungeons & Dragons Trivia Game;Fantasy;1991;Richard Borg;10;4.41103;68;3;10;TSR
The Batman Game;Comic Book / Strip;1989;A. Robert Moog;8;4.59259;54;2;6;University Games
Indus;Ancient;2004;Wolfgang Panning;8;5.60281;289;2;4;Queen Games
Station Master;Card Game;2004;Chris Bayliss;10;6.17151;539;2;6;Mayfair Games
Russian Rails;Economic;2004;Jodi Soares;10;6.90663;382;2;6;Mayfair Games
Napoleon on the Danube;Napoleonic;1992;Mark Hinkle;0;7.09254;67;2;2;New England Simulations
Greed Quest;Card Game;2004;Joseph McEvoy;8;4.63968;221;3;6;Steve Jackson Games
Black Elephant;Abstract Strategy;2004;Czarnè;10;7.73661;56;2;2;LudoArt Verlag
Bounce It-In Game;Action / Dexterity;1984;(Uncredited);6;6.31008;119;2;4;Tuppertoys
Take Off;Card Game;1999;Frank Brandt;10;5.41609;87;2;4;Adlung-Spiele
Monopoly: National Parks Edition;Economic;1998;(Uncredited);8;4.93803;71;2;8;USAopoly
Duell;Card Game;2004;Reiner Knizia;9;6.35638;570;2;2;Ravensburger Spieleverlag GmbH
Beer Money;Card Game;2004;Charlie Wiedman;12;5.82116;371;2;4;Atlas Games
Early American Chrononauts;American Civil War;2004;Andrew Looney;11;6.62995;767;1;6;Looney Labs
Au fil de l'épée;Medieval;2002;Frédéric Bey;12;7.37366;93;2;2;Vae Victis
Strat-O-Matic Pro Basketball;Sports;1973;Hal Richman;11;6.89844;128;2;2;Strat-O-Matic Game Company
Poitiers 1356 et Formigny 1450;Medieval;1999;Frédéric Bey;12;7.27049;61;2;2;Vae Victis
Marengo 1800;Napoleonic;2000;Frédéric Bey;12;7.43117;60;2;2;Vae Victis
Cheers;Memory;1992;(Uncredited);12;4.48276;58;2;8;Classic Games
Santorini;Abstract Strategy;2004;Gord!;0;7.41581;235;2;3;(Self-Published)
Speculation;Economic;2003;Grzegorz Rejchtman;10;5.42019;52;3;5;Alga
Pokémon Master Trainer II;Children's Game;2001;Michelle Duval;7;6.58431;51;2;6;Milton Bradley
Ignorant Armies: Iran-Iraq War;Modern Warfare;2003;Philip Sharp;12;6.66393;61;1;2;Decision Games (I)
The Scrambled States of America;Card Game;2002;Mary Ellroy;8;5.72368;157;2;4;Gamewright
The Russian Campaign (fourth edition);Wargame;2003;John Edwards;12;7.60538;252;2;2;L2 Design Group
Citadel: The Battle of Dien Bien Phu;Vietnam War;1977;Frank Chadwick;12;7.73273;55;1;2;GDW Games
RISIKO! Master;Wargame;2002;Spartaco Albertarelli;0;6.20377;53;3;6;Editrice Giochi
Bitter Woods (fourth edition);Dice;2003;Randy Heller;12;7.69618;285;2;4;L2 Design Group
Thirty Years War: the Great War 1618-1648;Pike and Shot;1995;Joseph Miranda;12;6.10545;55;2;4;Decision Games (I)
The Chaco War;Wargame;1991;Bruce Farcau;12;6.55949;79;2;2;XTR Corp
Molotov's War;Wargame;1995;John Desch;12;6.077;50;2;2;Decision Games (I)
Africa Orientale;Wargame;1989;Jeff Brown (I);12;6.24423;78;2;2;3W (World Wide Wargames)
Balkan Wars;Post-Napoleonic;1993;Joseph Miranda;12;6.57403;77;2;2;Decision Games (I)
Monkey Madness;Animals;2001;Reiner Knizia;3;5.30864;118;2;4;Ravensburger Spieleverlag GmbH
En Busca Del Imperio Cobra;Adventure;1981;Pepe Pineda;9;5.3612;242;2;4;CEFA (Celulosa Fabril S. A.)
Group of Soviet Forces Germany;Modern Warfare;2003;Ty Bomba;12;6.72118;68;1;2;Decision Games (I)
The Campaigns of Frederick the Great;Age of Reason;1993;Robert G. Markham;12;6.1963;54;1;4;3W (World Wide Wargames)
Risk: Godstorm;Dice;2004;Mike Selinker;10;6.302;2069;2;5;Avalon Hill (Hasbro)
SiegeStones;Abstract Strategy;2004;Patrick Matthews;7;5.78781;82;2;4;Live Oak Games
Epic Armageddon;Fantasy;2003;Jervis Johnson;12;7.5302;243;2;8;Games Workshop Ltd.
Blue Marble;NA;1982;Lee Sangbae;8;4.81695;59;2;4;Si-yat-sa
I Spy Memory Game;Children's Game;1995;Martine Redman;5;4.88281;57;1;6;Briarpatch
Victory & Honor;American Civil War;2004;Ty Douds;12;6.46858;259;4;4;Jolly Roger Games
Football Champions;Card Game;2001;Dave Williams (II);10;6.95652;69;2;2;Wizards of the Coast
The Black Prince;Medieval;1992;Robert G. Markham;12;6.28019;53;1;2;3W (World Wide Wargames)
Why Did the Chicken...?;Humor;2004;Kory Heath;12;6.12305;384;4;8;Play Again Games LLC
Poison Pot;Abstract Strategy;2003;Dale Walton;10;6.39636;55;2;3;Pin International
Summer Storm: The Battle of Gettysburg;American Civil War;1998;Rick Barber;12;7.225;60;2;2;Clash of Arms Games
Gringo!;American West;2004;Richard H. Berg;12;7.12133;150;1;6;GMT Games
Napoleon and the Archduke Charles: The Battle of Abensberg;Napoleonic;1987;Keith Poulter;12;5.92676;71;2;2;3W (World Wide Wargames)
Barbarossa: Army Group South, 1941;Wargame;1996;Vance von Borries;12;7.91534;142;1;4;GMT Games
Panzer Grenadier: Desert Rats;Wargame;2004;Michael Bennighof;12;6.87581;124;2;2;Avalanche Press Ltd.
Easy Come, Easy Go;Dice;2004;Reiner Knizia;8;5.9779;343;2;4;Out of the Box Publishing
Knight Hawks;Science Fiction;1983;Douglas Niles;12;6.18492;126;2;2;TSR
Advanced Dungeons & Dragons Battlesystem Skirmishes;Fantasy;1991;Bruce Nesmith;12;5.384;50;2;8;TSR
Hacker: Deluxe Edition;Card Game;2001;Steve Jackson (I);10;6.39139;296;2;6;Steve Jackson Games
Geist;Adventure;2004;Rose Anderson;10;5.88333;60;2;5;RoseKnows
Hellenes: Campaigns of the Peloponnesian War;Ancient;2009;Craig Besinque;12;7.4542;438;2;2;GMT Games
Navia Dratp;Abstract Strategy;2004;Koichi Yamazaki;8;7.19853;531;2;2;Bandai
Krieg! World War II in Europe;Wargame;1996;Steve Kosakowski;12;6.54082;98;2;3;Decision Games (I)
Visual Game;Party Game;1991;Spartaco Albertarelli;0;6.03077;65;4;6;Editrice Giochi
White Bear & Red Moon;Fantasy;1975;Greg Stafford;0;7.21569;51;1;3;Chaosium
New Rules for Classic Games;Abstract Strategy;1992;R. Wayne Schmittberger;10;7.55039;87;1;1;John Wiley &amp; Sons
Minotaur Lords;Card Game;2004;Reiner Knizia;12;6.00059;562;2;2;Fantasy Flight Games
Spearhead;Miniatures;1995;Arty Conliffe;12;6.7;62;2;6;Quantum Printing
Swärje;Card Game;2004;Anders Fager;13;5.43614;83;4;6;The Card Cabinet
Crash Canyon;Children's Game;1989;Jim Keifer;7;6.2276;50;2;4;Milton Bradley
Borodino: Battle of the Moskova, 1812;Napoleonic;2004;Richard H. Berg;12;6.71805;133;1;2;GMT Games
Reinforce the Right!;Wargame;1996;Joseph Miranda;12;6.87358;53;1;2;Decision Games (I)
El Capitán Alatriste;Novel-based;2002;Antonio Catalán;0;5.19293;99;2;6;Devir
Fiasco;Card Game;2003;David Pubrat;12;7.18064;93;2;6;Fiasco Games Company
Familienbande;Card Game;2004;Leo Colovini;8;6.30568;549;2;4;Winning Moves Germany
Leuthen: Frederick's Greatest Victory;Age of Reason;1997;Paul Dangel;16;7.84231;65;1;2;Clash of Arms Games
Zorndorf;Age of Reason;1996;Paul Dangel;12;7.39472;89;1;2;Clash of Arms Games
Tahuantinsuyu;Civilization;2004;Alan D. Ernstein;12;7.16867;400;3;4;Hangman Games
A Famous Victory;Age of Reason;1995;Richard H. Berg;12;6.39062;64;1;4;Moments in History
Red Star/White Eagle: The Russo-Polish War, 1920;Wargame;1979;David Williams (I);12;7.62672;58;2;2;GDW Games
Proud Monster: The Barbarossa Campaign;Wargame;1994;Ty Bomba;12;7.25884;129;2;2;XTR Corp
Krim: von Manstein's Battles for Sevastopol, 1941-1942;Wargame;1990;Ty Bomba;12;6.27255;51;2;2;XTR Corp
Hitler's Last Gamble: The Battle of the Bulge;Wargame;1989;Danny S. Parker;12;6.78333;54;2;2;3W (World Wide Wargames)
Think: Memo Crime;Educational;1997;Max J. Kobbert;16;5.85811;74;2;6;Ravensburger Spieleverlag GmbH
Flames of War: The World War II Miniatures Game;Collectible Components;2002;Phil Yates;14;7.10068;753;1;2;Battlefront Miniatures Ltd
Karottenklau;Animals;2004;Peter Bals;4;5.76471;85;1;6;HABA - Habermaaß GmbH
Monopoly: NFL Official;Economic;1998;(Uncredited);8;4.98685;54;2;8;Parker Brothers
Wellington;Napoleonic;2005;Mark McLaughlin;12;6.91277;567;2;4;GMT Games
Roads to Leningrad;Wargame;2004;Vance von Borries;12;7.52419;238;2;2;GMT Games
Shopping List;Children's Game;1995;(Uncredited);3;5.87273;55;2;4;Orchard Toys
Politics as Usual;Card Game;2005;Dan Verssen;12;5.60227;66;2;6;One Small Step
Burn in Hell;Card Game;2004;Steve Jackson (I);12;4.47242;368;2;5;Steve Jackson Games
The Rising Sun: Command at Sea Volume I;Nautical;1994;Larry Bond;12;7.25067;75;2;12;Clash of Arms Games
La Bataille d'Orthez;Napoleonic;2000;Eric Lyons;12;7.75281;89;1;2;Clash of Arms Games
La Bataille de Corunna-Espagnol;Napoleonic;1995;J. Thomas Bailey;12;7.44235;85;2;3;Clash of Arms Games
La Ruta del Tesoro;Economic;1980;Pepe Pineda;8;5.48467;75;2;6;CEFA (Celulosa Fabril S. A.)
Case Green;Wargame;1992;John Desch;0;6.00074;68;2;2;Decision Games (I)
White Eagle Eastward;Wargame;1992;Thomas M. Kane;12;5.25;65;2;2;Decision Games (I)
Snake Pit;Adventure;2002;Tom Scutt;8;6.14072;83;2;4;(Web published)
Defiant Russia;Wargame;2004;William Sariego;12;6.20559;188;2;2;Avalanche Press Ltd.
Red Steel: Clash Of Armor At Kishinev;Wargame;1996;Michael Bennighof;14;6.74344;61;2;2;Avalanche Press Ltd.
America Triumphant: The Battle of the Bulge;Wargame;2003;Brian L. Knipple;12;5.55172;58;2;2;Avalanche Press Ltd.
Lightning: D-Day;Card Game;2004;Dan Verssen;9;5.98156;269;2;2;Decision Games (I)
War Between The States (second edition);American Civil War;2004;Irad B. Hardy;12;7.156;50;2;2;Decision Games (I)
Capt'n W. Kidd;Abstract Strategy;2004;Günter Cornett;9;4.87031;64;2;3;Bambus Spieleverlag
Empire of the Sun;Nautical;2005;Mark Herman;12;7.93929;906;1;2;GMT Games
Cyberpunk: The Collectible Card Game;Card Game;2003;Peter Wacks;6;5.2269;58;2;2;Social Games
Shifting Sands;Wargame;2006;Michael Rinella;12;7.29647;519;2;2;Multi-Man Publishing
Monopoly: Marvel Comics;Comic Book / Strip;1999;(Uncredited);8;4.83846;65;1;1;USAopoly
Paladin;Card Game;2004;Spartaco Albertarelli;10;4.704;50;3;5;Kidultgame
Waz Baraz;Card Game;2004;Spartaco Albertarelli;10;5.5772;75;3;6;Kidultgame
The Seven Days of 1809;Napoleonic;2004;Kevin Zucker;14;7.6564;86;2;4;OSG (Operational Studies Group)
Kipp, Kipp, Ahoi!;Action / Dexterity;2004;Gunter Baars;5;5.692;50;2;4;Ravensburger Spieleverlag GmbH
The Great War in the Near East;Wargame;1996;Ted Raicer;12;6.61641;72;2;2;XTR Corp
Australian Railways;Trains;2004;Martin Wallace;12;7.01667;54;3;5;Winsome Games
Wig Out!;Card Game;2004;Forrest-Pruzan Creative;6;5.79188;117;2;6;Gamewright
Barons' War;Medieval;2004;Robert G. Markham;10;5.14;50;2;2;Clash of Arms Games
Drive on Stalingrad (second edition);Wargame;2002;Ty Bomba;12;6.89775;89;2;4;Decision Games (I)
Funkenschlag;Economic;2001;Friedemann Friese;12;7.57004;713;2;6;2F-Spiele
D-Day (first edition);Wargame;1961;Charles S. Roberts;12;5.61481;206;2;2;Avalon Hill
Garden Competition;Bluffing;2004;Ken Stevens;10;6.80535;185;3;5;Toccata Games
Ancients II;Ancient;1992;William L. Banks;12;6.2559;83;2;2;3W (World Wide Wargames)
DAK2;Wargame;2004;Dean Essig;14;8.2378;247;1;2;Multi-Man Publishing
Bloody Legacy;Card Game;2004;Tony Boydell;8;5.39012;86;2;8;Surprised Stare Games Ltd
Hyborian Gates;Card Game;1995;(Uncredited);12;3.77069;58;2;2;CARDZ
Grand Illusion: Mirage of Glory, 1914;Wargame;2004;Ted Raicer;12;6.93946;221;2;2;GMT Games
Manifest Destiny;Civilization;2005;Bill Crenshaw;12;6.53229;558;3;5;GMT Games
Rooster Booster;Card Game;2004;Reiner Knizia;8;5.5629;62;3;5;Piatnik
Animal Party;Animals;2004;Amanda Birkinshaw;4;5.88281;96;2;6;Ravensburger Spieleverlag GmbH
Deluxe Pass the Pigs;Animals;2004;David Moffat;10;5.45537;149;2;4;Winning Moves Games (USA)
Battlestations;Science Fiction;2004;Jeff Siadek;12;7.16905;894;2;8;Gorilla Games
La Batalla de los Arapiles;Napoleonic;1995;Jose Luis Arcon Dominguez;12;7.94423;52;1;4;SIMTAC
Twilight Imperium (Third Edition);Civilization;2005;Christian T. Petersen;12;7.92399;14996;3;6;Fantasy Flight Games
Goodnight Moon;Children's Game;1997;Martine Redman;3;4.9;55;1;4;Briarpatch
The Franco-Prussian War;Post-Napoleonic;1992;Joseph Miranda;12;6.63371;89;2;2;Decision Games (I)
Artifact;Negotiation;2004;(Uncredited);12;4.41273;55;2;6;Outset Media
Abuse: The Final Insult;Card Game;2004;Greg Stolze;12;3.90385;52;2;4;EOS Press
Entrapment;Abstract Strategy;1999;Rich Gowell;12;7.96552;87;2;2;Gowell Classic Games
Stupiduel;Card Game;2004;Hugh Barnes;12;6.075;76;2;8;Lost Adept Distractions
Razzia!;Card Game;2004;Reiner Knizia;12;6.81808;1684;2;5;AMIGO Spiel + Freizeit GmbH
NFL Showdown;Card Game;2002;Tom Wylie;8;4.99333;75;2;2;Wizards of the Coast
Chess 960;Abstract Strategy;1996;Bobby Fischer;10;7.5787;77;2;2;(Public Domain)
Cthulhu 500;Card Game;2004;Jeff Tidball;13;5.86796;495;3;8;Atlas Games
The Army of the Heartland: The Army of Tennessee's Campaigns, 1861-1863;American Civil War;1996;John Prados;12;7.3066;53;2;2;Clash of Arms Games
The Battle for Dresden 1813;Napoleonic;1995;Mark Hinkle;12;7.03731;67;2;2;New England Simulations
Scarabeo;Word Game;1963;Aldo Pasetti;8;6.36482;199;2;4;Editrice Giochi
City and Guilds;City Building;2004;Steve Kingsbury;8;6.62512;189;3;5;JKLM Games
